"","X","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42"
"1","PPP1CB",0,0.027241834,0.007443096,0,0.03766263,0.022559287,0,0.152507996,0.128421915,0.010587873,0.002558867,0.002536117,0.001050298,0.008432477,0.001305439,0,0.004425756,0.00462598,0,0.115735903,0.223627941,0.001546276,0.013611772,0.013388585,0.014145746,0.000996549,0.000887415,0.00034421,0.000365517,0.00018141,0.000735482,0.005956422,0.010243618,0.003770992,0.002867036,0.004534324,0.011050326,0.002264032,0,0.000415026,0,0.004802751
"2","TRIO",0.540707683,6.750076223,0.005026419,0.036439989,3.139937527,1.06609971,0.158910756,6.729065971,1.779488809,1.389220485,0.658764528,0.35984413,1.035669589,1.314320959,0.515617294,2.980085293,0.888252922,0.864468061,1.885236254,2.047667292,1.552804551,0.167796183,0.03710386,0.004453489,0.005963017,0.01187987,0.006113101,0.001505653,0.00355012,0.006022545,0.011986353,0.008691891,0.006217328,0.013395277,0.004969179,0.033581585,0.008256228,0.008128265,0.00047196,0.000865715,0,0.033626723
"3","RPE",0.804051578,0.017298989,1.411714123,13.81602746,0.144013036,0.428797947,1.057249988,0.063460689,0.071053195,0.302720882,0.450122215,0.421975709,0.13018161,0.544523398,0.85424639,0.023953507,0.014832208,0.008533559,0.04169239,0.039201718,0.022365575,0.046069373,0.003066001,0.001444786,0.0065615,0.000382323,0.016594283,0.030342811,0.03758886,0.054656456,0.011600675,0.007175042,0.014188394,0.018010676,0.012462527,0.005395352,0.001194873,0.012585699,0.052335327,0.037518855,0.052330898,0.003012218
"4","RPRD2",0.045317047,0.300659997,0.038585715,0,0.195757379,0.064448924,0,0.320991533,0.242652966,0.059563349,0.035431941,0.002304645,0.006560026,0.051995255,0,0,0.031557188,0.012946641,0,0.23292075,0.414739688,0.007939637,0.011633912,0.005651817,0.005021995,0.001495158,0.002237587,0.00054743,0.000905412,0.000385995,0.003706092,0.009529507,0.004412033,0.006421436,0.005049638,0.007080498,0.006256002,0.006651154,0.000426685,0.001704177,0,0.012671734
"5","FAM111B",0.064889233,5.880655054,0.079718532,0,0.322839892,1.256486608,0,0.869862118,1.191350406,0.135544677,0.212484077,0.260521264,1.059778763,0,0.241388132,1.587473807,1.428183283,0.250751735,1.735754298,2.65479388,3.703069088,0.064703681,0.076292518,0.006320306,0.011243256,0.004947736,0.006186805,0.002957408,0.010089027,0.001616656,0.005931605,0.021833583,0.014409265,0.017945788,0.039743501,0.012384493,0.033129998,0.014427088,0.00246375,0.001970716,0,0.011948238
"6","PLEKHG1",0,0.101783735,0,0,0.009866955,0.009044461,0,0.014447072,0.007335558,0.014307555,0.005976394,0.015365837,0.01537923,0.02257307,0.000503185,0.04247289,0.012642935,0.006819874,0.003117708,0.0031922,0.009139227,0.000213736,0.01623119,0.004363381,0.004325582,0.000617601,0,0.001250261,0.001809952,7.92e-05,0.001112934,0.000499882,0.012138858,0,0.003369528,0.006178484,0.00461919,0.018159922,0,0,0,0.014610184
"7","C10orf137",0.007170405,0.02886505,0.007350139,0,0.043095762,0.031106226,0,0.078146586,0.062727811,0.028970109,0.00604937,0.002815005,0.037102977,0.015164848,0.003790641,0.081303931,0.051104926,0.010873881,0.034726565,0.060597833,0.067229843,0.002258612,0.010335769,0.001644864,0.002230262,0.000348008,0.000738156,0.000528786,0.000439155,0.000184483,0.000224655,0.002668056,0.002310884,0.00189786,0.002635187,0.002041745,0.001884053,0.001800165,0.000270235,0.00022668,0,0.001239219
"8","CCDC89",1.621465188,0,0.570320991,7.561850457,0.057947496,0.653302152,0.911558654,0.140881494,0.054785157,0.443029228,0.313426393,0.798662163,0.096252939,0.263560524,0.842282768,0.001632476,0.000408035,0.000379288,0.012375343,0.004135592,0.000774425,0.042995544,0.000658705,0.000182979,0.008236582,0.000123392,0.021343205,0.03338996,0.086026793,0.097881795,0.010229949,0.011230896,0.016038611,0.035406373,0.027829263,0.003961294,0.001036773,0.024074404,0.08818362,0.07149135,0.157691047,0.000612205
"9","UHRF1",0.092736348,0.835084475,0.025255433,0.010229611,0.190367262,0.110850475,0.004349087,0.323374283,0.464188961,0.077855779,0.259299695,0.211815139,0.133778973,0.068924239,0.153122579,0.508683217,0.257366273,0.229216765,0.382541832,0.550695988,0.234380932,0.019025732,0.016049259,0.009043015,0.003850159,0.012654189,0.015832318,0.003586369,0.004709329,0.001507338,0.019829131,0.008721515,0.013714046,0.01411746,0.003731599,0.016519968,0.010683432,0.013797867,0.001107383,0.000767547,0,0.111226873
"10","PUS7L",0.002624541,0.056399183,0,0,0.012523854,0.004699055,0,0.01039049,0.025456163,0.002503016,0.001459758,0.00206224,0.01636132,0,0,0.020037478,0.019959165,0.002819072,0.003285125,0.007494442,0.032686925,0.000659677,0.006614595,0.003763794,0.002811561,0.000378403,4.06e-05,0.000522233,5.66e-05,0,0,0.001337567,0.002007211,0.001465394,0.00052543,0.000628346,0.00170198,0.001618816,0,0,0,0
